Data Provider,The Paleobiology Database,,,,,,,,,,,,,,,
Data Source,The Paleobiology Database,,,,,,,,,,,,,,,
Data License,Creative Commons CC-BY,,,,,,,,,,,,,,,
License URL,http://creativecommons.org/licenses/by/4.0/,,,,,,,,,,,,,,,
Documentation URL,http://paleobiodb.org/data1.2/occs/list_doc.html,,,,,,,,,,,,,,,
Data URL,http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Chelonioidea&taxon_reso=species&ident=all,,,,,,,,,,,,,,,
Access Time,Wed 2022-02-23 23:52:35 GMT,,,,,,,,,,,,,,,
Title,PBDB Data Service,,,,,,,,,,,,,,,
Parameters:,,,,,,,,,,,,,,,,
,base_name,Chelonioidea,,,,,,,,,,,,,,
,idreso,species,,,,,,,,,,,,,,
,idtype,all,,,,,,,,,,,,,,
,timerule,major,,,,,,,,,,,,,,
,taxon_status,all,,,,,,,,,,,,,,
Elapsed Time,0.0284,,,,,,,,,,,,,,,
Records Found,247,,,,,,,,,,,,,,,
Records Returned,247,,,,,,,,,,,,,,,
Records:,,,,,,,,,,,,,,,,
occurrence_no,record_type,reid_no,flags,collection_no,identified_name,identified_rank,identified_no,difference,accepted_name,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,reference_no
1049693,occ,,,129278,Mesodermochelys undulatus,species,239568,,Mesodermochelys undulatus,species,239568,Early Maastrichtian,,70.6,66,42111
1049723,occ,,,110465,n. gen. Bouliachelys n. sp. suteri,species,239570,,Bouliachelys suteri,species,239570,Late Albian,,105.3,99.6,42112
1049733,occ,,,129288,Bouliachelys suteri,species,239570,,Bouliachelys suteri,species,239570,Late Albian,,105.3,99.6,42112
1058856,occ,,,88034,Lytoloma jeanesii,species,241953,,Lytoloma jeanesii,species,241953,Late Maastrichtian,,70.6,66,14442
1074690,occ,32845,,68021,"""Chelonia"" gwinneri",species,288214,,Chelonia gwinneri,species,288214,Rupelian,,33.9,28.1,60711
1088222,occ,,,136745,Rhinochelys pulchriceps,species,235083,,Rhinochelys pulchriceps,species,156268,Early Turonian,Early Coniacian,93.5,85.8,44320
1092516,occ,,,137412,Chelone n. sp. pulchriceps,species,156268,recombined as,Rhinochelys pulchriceps,species,156268,Late Albian,,105.3,99.6,14071
1095605,occ,,,138297,Allopleuron cf. hofmanni,species,255079,"misspelling of, obsolete variant of",Allopleuron hoffmanni,species,255079,Turonian,,93.9,89.8,44226
1095606,occ,,,31993,Allopleuron cf. hofmanni,species,255079,"misspelling of, obsolete variant of",Allopleuron hoffmanni,species,255079,Late Campanian,,83.5,70.6,44226
1095607,occ,,,138298,Allopleuron cf. hofmanni,species,255079,"misspelling of, obsolete variant of",Allopleuron hoffmanni,species,255079,Early Campanian,,83.5,70.6,44226
1095670,occ,,,113115,Allopleuron qazaqstanense,species,255081,,Allopleuron qazaqstanense,species,255081,Bartonian,,41.3,38,44226
1095743,occ,,,138309,Oertelia gigantea,species,255124,,Oertelia gigantea,species,128361,Early Aptian,,125.45,122.46,44232
1106419,occ,,,139918,Cratochelone berneyi,species,259783,,Cratochelone berneyi,species,259783,Middle Albian,Late Albian,109,99.6,45091
1123351,occ,,,83311,Tasbacka n. sp. ouledabdounensis,species,264913,,Tasbacka ouledabdounensis,species,264913,Danian,,66,61.6,46215
1154566,occ,,,147801,n. gen. Ocepechelon n. sp. bouyai,species,273630,,Ocepechelon bouyai,species,273630,Late Maastrichtian,,70.6,66,47545
1155929,occ,,R,73137,Psephophorus polygonus,species,317849,,Psephophorus polygonus,species,317849,Badenian,,13.65,12.7,47582
1155929,occ,34695,,73137,Psephophorus polygonus,species,317849,,Psephophorus polygonus,species,317849,Badenian,,13.65,12.7,65672
1176604,occ,,R,151620,Thalassochelys n. sp. phosphatica,species,280081,,Thalassochelys phosphatica,species,280081,Early Eocene,,55.8,48.6,48463
1176604,occ,32507,,151620,Lytoloma n. sp. elegans,species,344463,,Lytoloma elegans,species,344463,Early Eocene,,55.8,48.6,59668
1180624,occ,,,152095,Mesodermochelys undulatus,species,239568,,Mesodermochelys undulatus,species,239568,Early Campanian,,83.5,70.6,48802
1190126,occ,,,153565,n. gen. Alienochelys n. sp. selloumi,species,286869,,Alienochelys selloumi,species,286869,Late Maastrichtian,,70.6,66,49619
1192656,occ,,,48888,Tasbacka aldabergeni,species,264912,,Tasbacka aldabergeni,species,264912,Late Paleocene,,58.7,55.8,49973
1192657,occ,,,49051,Tasbacka aldabergeni,species,264912,,Tasbacka aldabergeni,species,264912,Ypresian,,56,47.8,49973
1192731,occ,,,45737,Glarichelys gwinneri,species,288215,recombined as,Chelonia gwinneri,species,288214,Chattian,,28.1,23.03,49973
1193009,occ,,,124465,Dollochelys n. sp. rogovichi,species,288216,,Dollochelys rogovichi,species,288216,Eocene,,56,33.9,49973
1193010,occ,,,154180,n. gen. Turgaiscapha n. sp. kushmurunica,species,288218,,Turgaiscapha kushmurunica,species,288218,Late Campanian,,83.5,70.6,49973
1193102,occ,,,32314,n. gen. Teguliscapha n. sp. rossica,species,288227,,Teguliscapha rossica,species,288227,Late Albian,Cenomanian,105.3,93.9,49973
1193104,occ,37872,,87947,n. gen. Erquelinnesia n. sp. gosseleti,species,288246,,Erquelinnesia gosseleti,species,288246,Ypresian,,56,47.8,41174
1194345,occ,,,154345,n. gen. Ashleychelys n. sp. palmeri,species,288961,,Ashleychelys palmeri,species,288961,Rupelian,,33.9,28.1,50198
1195168,occ,,,60443,Ashleychelys palmeri,species,288961,,Ashleychelys palmeri,species,288961,Chattian,,28.1,23.03,50198
1195169,occ,,,154579,Ashleychelys palmeri,species,288961,,Ashleychelys palmeri,species,288961,Rupelian,,33.9,28.1,50198
1196864,occ,,,154803,Archelon n. sp. marshii,species,289813,,Archelon marshii,species,289813,Campanian,,83.6,72.1,50366
1253552,occ,,,165735,Osteopygis n. sp. salisburgensis,species,313752,recombined as,Tasbacka salisburgensis,species,313752,Ypresian,,56,47.8,54172
1253931,occ,,,77613,Emys n. sp. camperi,species,313939,recombined as,Puppigerus camperi,species,313939,Lutetian,,47.8,41.3,54216
1259193,occ,,,124192,cf. Eosphargis gigas,species,63142,,Eosphargis gigas,species,235098,Early Eocene,,55.8,48.6,54562
1259195,occ,,,124192,Puppigerus camperi,species,313940,,Puppigerus camperi,species,313939,Early Eocene,,55.8,48.6,54562
1259203,occ,,,167192,Eosphargis insularis,species,316508,,Eosphargis insularis,species,231913,Late Paleocene,,58.7,55.8,54562
1259229,occ,,,167201,Ashleychelys palmeri,species,288961,,Ashleychelys palmeri,species,288961,Late Oligocene,,28.4,23.03,54562
1259279,occ,,,49137,Puppigerus n. sp. nessovi,species,316512,subjective synonym of,Puppigerus camperi,species,313939,Bartonian,,41.3,38,54563
1259287,occ,,,167231,Catapleura n. sp. arkansaw,species,316519,recombined as,Zangerlchelys arkansaw,species,316519,Late Campanian,,83.5,70.6,60504
1259401,occ,,,165976,Chelone breviceps,species,156270,recombined as,Puppigerus breviceps,species,156270,Ypresian,,56,47.8,54576
1259402,occ,,,167274,Chelone n. sp. breviceps,species,156270,recombined as,Puppigerus breviceps,species,156270,Ypresian,,56,47.8,54576
1259403,occ,,,167274,Chelone n. sp. longiceps,species,235263,subjective synonym of,Puppigerus camperi,species,313939,Ypresian,,56,47.8,54576
1259404,occ,,,165976,Chelone longiceps,species,235263,subjective synonym of,Puppigerus camperi,species,313939,Ypresian,,56,47.8,54576
1259405,occ,,,167274,Chelone n. sp. latiscutata,species,156273,subjective synonym of,Puppigerus crassicostata,species,235265,Ypresian,,56,47.8,54576
1259409,occ,,,167275,Chelone n. sp. planimentum,species,156269,recombined as,Erquelinnesia planimenta,species,156269,Ypresian,,56,47.8,54576
1259681,occ,,R,167345,Psephophorus terrypratchetti,species,317845,,Psephophorus terrypratchetti,species,317845,Bartonian,,41.3,38,54768
1259681,occ,30959,,167345,n. gen. Maorichelys n. sp. wiffeni,species,316873,,Maorichelys wiffeni,species,316873,Bartonian,,41.3,38,54595
1262931,occ,,,167710,Psephophorus n. sp. terrypratchetti,species,317845,,Psephophorus terrypratchetti,species,317845,Bortonian,,43,37.2,54768
1262932,occ,,,167711,Psephophorus terrypratchetti,species,317845,,Psephophorus terrypratchetti,species,317845,Bortonian,Kaiatan,43,36,54768
1262933,occ,,,167712,Psephophorus terrypratchetti,species,317845,,Psephophorus terrypratchetti,species,317845,Bortonian,,43,37.2,54768
1262955,occ,,,167718,Egyptemys aff. eocaenus,species,362606,,Egyptemys eocaenus,species,86268,Early Eocene,Middle Eocene,55.8,37.2,54773
1262956,occ,,,84460,Egyptemys aff. eocaenus,species,362606,,Egyptemys eocaenus,species,86268,Ypresian,,56,47.8,54773
1263241,occ,,,167780,Lytoloma n. sp. jeanesii,species,241953,,Lytoloma jeanesii,species,241953,Late Maastrichtian,,70.6,66,35435
1263328,occ,,,167786,n. gen. Osonachelus n. sp. decorata,species,318120,,Osonachelus decorata,species,318120,Bartonian,,41.3,38,54818
1263329,occ,,,167787,Osonachelus decorata,species,318120,,Osonachelus decorata,species,318120,Bartonian,,41.3,38,54818
1263337,occ,35195,,167792,Eochelone voltregana,species,377274,,Eochelone voltregana,species,377274,Bartonian,,41.3,38,66923
1264121,occ,,,167918,n. gen. Archelon n. sp. ischyros,species,128038,,Archelon ischyros,species,128038,Campanian,Early Maastrichtian,83.6,66,54899
1264134,occ,,,167919,Protostega n. sp. copei,species,128032,recombined as,Microstega copei,species,128032,Late Santonian,Early Campanian,85.8,70.6,54902
1265907,occ,,,113116,"""Allopleuron"" qazaqstanense",species,255081,,Allopleuron qazaqstanense,species,255081,Bartonian,,41.3,38,55059
1281812,occ,,,170239,n. gen. Gigantatypus n. sp. salahi,species,322199,,Gigantatypus salahi,species,322199,Late Maastrichtian,,70.6,66,55540
1304983,occ,,R,174689,Glarichelys knorri,species,437456,,Glarichelys knorri,species,358385,Rupelian,,33.9,28.1,56725
1304983,occ,34709,,174689,Glarichelys cf. knorri,species,437456,,Glarichelys knorri,species,358385,Rupelian,,33.9,28.1,65727
1306426,occ,,,32906,n. gen. Cosmochelys n. sp. dolloi,species,80841,,Cosmochelys dolloi,species,80841,Bartonian,,41.3,38,8818
1308496,occ,,,175523,Caretta caretta,species,173404,,Caretta caretta,species,173403,Holocene,,0.0117,0,57380
1317173,occ,,,176841,Eochelone n. sp. monstigris,species,337573,,Eochelone monstigris,species,337573,Late Eocene,,37.2,33.9,58365
1317509,occ,,,176937,Puppigerus ? camperi,species,313940,,Puppigerus camperi,species,313939,Ypresian,,56,47.8,58397
1320601,occ,,,39643,Trachyaspis n. sp. hantoniensis,species,235427,,Trachyaspis hantoniensis,species,235427,Priabonian,,38,33.9,58741
1331947,occ,,,91363,Puppigerus camperi,species,313940,,Puppigerus camperi,species,313939,Ypresian,,56,47.8,54190
1331948,occ,,,167275,Chelone n. sp. crassicostata,species,235265,recombined as,Puppigerus crassicostata,species,235265,Ypresian,,56,47.8,41531
1331949,occ,,,178051,Lytoloma crassicostatum,species,235266,recombined as,Puppigerus crassicostata,species,235265,Ypresian,,56,47.8,41531
1334452,occ,,,151620,Lytoloma n. sp. crassa,species,344462,,Lytoloma crassa,species,344462,Early Eocene,,55.8,48.6,59668
1340080,occ,,,55986,Desmatochelys lowi,species,393402,"misspelling of, obsolete variant of",Desmatochelys lowii,species,173417,Middle Turonian,,93.5,89.3,60108
1340272,occ,,,60339,Psephophorus ? n. sp. oregonensis,species,317852,recombined as,Egyptemys oregonensis,species,317852,Burdigalian,,20.44,15.97,60118
1342868,occ,,,181660,Psephophorus pseudostracion,species,317850,,Psephophorus pseudostracion,species,317850,Pliocene,,5.333,2.588,60047
1344280,occ,,,181902,Desmatochelys lowi,species,393402,"misspelling of, obsolete variant of",Desmatochelys lowii,species,173417,Turonian,,93.9,89.8,60505
1361766,occ,,,57700,Syllomus aegyptiacus,species,83307,,Syllomus aegyptiacus,species,83307,Langhian,,15.97,13.82,62139
1364223,occ,,,176544,Desmatochelys n. sp. padillai,species,353086,,Desmatochelys padillai,species,353086,Late Barremian,Early Aptian,130,122.46,58156
1372042,occ,,,79793,Psephophorus calvertensis,species,83314,subjective synonym of,Psephophorus polygonus,species,317849,Langhian,,15.97,13.82,62831
1372043,occ,,,79793,Trachyaspis lardyi,species,235426,,Trachyaspis lardyi,species,235426,Langhian,,15.97,13.82,62831
1372089,occ,,,187324,Trachyaspis lardyi,species,235426,,Trachyaspis lardyi,species,235426,Langhian,,15.97,13.82,62831
1372136,occ,,,126605,Trachyaspis lardyi,species,235426,,Trachyaspis lardyi,species,235426,Serravallian,,13.82,11.62,62831
1372182,occ,,,152251,Psephophorus calvertensis,species,83314,subjective synonym of,Psephophorus polygonus,species,317849,Tortonian,,11.62,7.246,62831
1372760,occ,,,113962,Chelonia n. sp. oligocena,species,358066,,Chelonia oligocena,species,358066,Rupelian,,33.9,28.1,62863
1373833,occ,,,187559,Glarichelys knorri,species,437456,,Glarichelys knorri,species,358385,Priabonian,Rupelian,38,28.1,62940
1374203,occ,,,46097,Psephophorus cf. rupeliensis,species,317853,,Psephophorus rupeliensis,species,317853,MP 22,,33.9,28.4,62970
1374204,occ,,,46097,Chelyopsis halleri,species,358384,,Chelyopsis halleri,species,358384,MP 22,,33.9,28.4,62970
1374205,occ,,,46086,Chelyopsis n. sp. raabei,species,358386,,Chelyopsis raabei,species,358386,Bartonian,Priabonian,41.3,33.9,62970
1374206,occ,,,91095,Chelyopsis holsaticus,species,358387,,Chelyopsis holsaticus,species,358387,Rupelian,,33.9,28.1,62970
1374209,occ,,,138726,n. gen. Allopleuron n. sp. hoffmanni,species,359359,"misspelling of, obsolete variant of",Chelonia hoffmanni,species,235145,Late Maastrichtian,,70.6,66,62970
